DateComtd,DayComtd,TimeComtd,Barangay,X,Y,CrimeType,CrimeCategory,Classification,CaseStat,Solved,Cleared,"Place of Occurrence"
13/01/2020,Monday,9:45:00,Calindagan,123.310806,9.299302,"NON-INDEX CRIME",OTHERNONINDEX,"Malicious Mischief","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
13/01/2020,Monday,16:40:00,Banilad,123.295921,9.278216,"INDEX CRIME",THEFT,"Qualified Theft","Victim refused to file a case",Yes,Yes,"(Commercial-Business Establishments) - Office "
13/01/2020,Monday,23:47:00,Cadawinonan,123.271629,9.302372,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
13/01/2020,Monday,12:47:00,Cadawinonan,123.271629,9.302372,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
13/01/2020,Monday,23:30:00,Taclobo,123.299644,9.306586,"NON-INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj TRI","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
14/01/2020,Tuesday,7:42:00,Banilad,123.29467,9.28666,"NON-INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj TRI","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
14/01/2020,Tuesday,8:00:00,Batinguel,123.289322,9.309911,"NON-INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj TRI","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
14/01/2020,Tuesday,11:50:00,Bantayan,123.30014,9.326596,"NON-INDEX CRIME",OTHERNONINDEX,"Malicious Mischief","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
14/01/2020,Tuesday,12:15:00,"Poblacion No. 3 (Barangay 3)",123.307632,9.308873,"NON-INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj TRI","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
14/01/2020,Tuesday,16:00:00,Bantayan,123.308044,9.331233,"INDEX CRIME",THEFT,Salisi,"Victim refused to file a case",Yes,Yes,"Unihabited Place"
